N	Z	A	EL	BE	BEd	MASS	MASSd
72	55	127	Cs	8411.562	0.044	126907417.381	5.988
71	56	127	Ba	8378.455	0.089	126911091.275	12.192
70	57	127	La	8333.540	0.205	126916375.084	27.912
69	58	127	Ce	8280.791	0.227	126922727.000	31.000
68	59	127	Pr	8216#	2#	126930710#	210#
67	60	127	Nd	8139#	2#	126940380#	320#
66	61	127	Pm	8048#	3#	126951920#	430#
82	46	128	Pd	8138#	4#	127952238#	537#
81	47	128	Ag	8211#	2#	127941363#	322#
80	48	128	Cd	8303.264	0.057	127927812.857	7.776
79	49	128	In	8351.090	1.199	127920401.053	164.766
78	50	128	Sn	8416.979	0.138	127910507.197	18.958
77	51	128	Sb	8420.775	0.149	127909145.645	20.525
76	52	128	Te	8448.752	0.007	127904461.311	0.929
75	53	128	I	8432.836	0.028	127905808.600	3.915
74	54	128	Xe	8443.298	0.008	127903530.996	1.138
73	55	128	Cs	8406.493	0.043	127907748.648	5.843
72	56	128	Ba	8396.060	0.041	127908342.408	5.577
71	57	128	La	8337.190	0.425	127915592.123	58.452
70	58	128	Ce	8306.925	0.218	127918911.000	30.000
69	59	128	Pr	8228.913	0.233	127928791.000	32.000
68	60	128	Nd	8176#	2#	127935250#	210#
67	61	128	Pm	8072#	2#	127948700#	320#
66	62	128	Sm	7994#	4#	127958486#	537#
83	46	129	Pd	8084#	5#	128959624#	644#
82	47	129	Ag	8189#	3#	128944197#	429#
81	48	129	Cd	8269.034	0.130	128932304.399	18.000
80	49	129	In	8338.780	0.021	128921805.486	2.891
79	50	129	Sn	8392.818	0.134	128913482.102	18.547
78	51	129	Sb	8418.058	0.165	128909146.696	22.792
77	52	129	Te	8430.409	0.007	128906596.492	0.933
76	53	129	I	8435.990	0.025	128904983.687	3.401
75	54	129	Xe	8431.390	0.000	128904780.85892	0.00576
74	55	129	Cs	8416.047	0.035	128906065.690	4.889
73	56	129	Ba	8391.098	0.082	128908680.896	11.354
72	57	129	La	8356.052	0.166	128912694.475	22.920
71	58	129	Ce	8310.940	0.217	128918102.000	30.000
70	59	129	Pr	8254.380	0.231	128925095.000	32.000
69	60	129	Nd	8190#	2#	128933102#	217#
68	61	129	Pm	8111#	2#	128943230#	320#
67	62	129	Sm	8021#	4#	128954911#	537#
83	47	130	Ag	8140#	4#	129950942#	537#
82	48	130	Cd	8252.586	0.172	129934387.566	24.000
81	49	130	In	8313.996	0.293	129924977.288	40.844
80	50	130	Sn	8386.816	0.014	129913974.533	2.010
79	51	130	Sb	8397.363	0.109	129911662.688	15.257
78	52	130	Te	8430.324	0.000	129906222.747	0.012
77	53	130	I	8421.100	0.024	129906670.211	3.401
76	54	130	Xe	8437.731	0.000	129903509.349	0.010
75	55	130	Cs	8408.784	0.064	129906709.283	8.971
74	56	130	Ba	8405.549	0.020	129906320.874	2.741
73	57	130	La	8356.191	0.200	129912369.413	27.854
72	58	130	Ce	8333.216	0.215	129914736.000	30.000
71	59	130	Pr	8263.756	0.494	129923590.000	69.000
70	60	130	Nd	8222.513	0.215	129928506.000	30.000
69	61	130	Pm	8130#	2#	129940530#	210#
68	62	130	Sm	8064#	3#	129949000#	430#
67	63	130	Eu	7951#	4#	129963840#	537#
84	47	131	Ag	8099#	4#	130956650#	537#
83	48	131	Cd	8206.175	0.782	130940720.000	110.000
82	49	131	In	8297.959	0.021	130926972.122	2.900
81	50	131	Sn	8362.517	0.028	130917053.066	3.887
80	51	131	Sb	8392.552	0.016	130911989.341	2.236
79	52	131	Te	8411.233	0.001	130908522.211	0.065
78	53	131	I	8422.297	0.005	130906126.384	0.649
77	54	131	Xe	8423.736	0.000	130905084.136	0.009
76	55	131	Cs	8415.056	0.038	130905464.999	5.340
75	56	131	Ba	8398.587	0.020	130906941.181	2.757
74	57	131	La	8370.367	0.213	130910070.000	30.000
73	58	131	Ce	8333.396	0.250	130914429.465	35.214
72	59	131	Pr	8286.143	0.359	130920234.960	50.451
71	60	131	Nd	8230.304	0.210	130927248.020	29.541
70	61	131	Pm	8162#	2#	130935952#	215#
69	62	131	Sm	8084#	3#	130946180#	430#
68	63	131	Eu	7995#	3#	130957842#	430#
85	47	132	Ag	8049#	4#	131963725#	537#
84	48	132	Cd	8168#	1#	131946040#	210#
83	49	132	In	8253.715	0.455	131932998.449	64.447
82	50	132	Sn	8354.872	0.015	131917823.902	2.121
81	51	132	Sb	8372.344	0.019	131914508.015	2.648
80	52	132	Te	8408.485	0.026	131908546.716	3.742
79	53	132	I	8406.462	0.031	131907993.514	4.364
78	54	132	Xe	8427.622	0.000	131904155.08697	0.00553
77	55	132	Cs	8405.587	0.008	131906437.743	1.112
76	56	132	Ba	8409.375	0.008	131905061.098	1.131
75	57	132	La	8367.756	0.275	131910118.959	39.032
74	58	132	Ce	8352.338	0.155	131911463.846	21.945
73	59	132	Pr	8291.537	0.219	131919240.000	31.000
72	60	132	Nd	8256.810	0.183	131923321.237	25.985
71	61	132	Pm	8177#	1#	131933840#	160#
70	62	132	Sm	8121#	2#	131940870#	320#
69	63	132	Eu	8018#	3#	131954696#	429#
85	48	133	Cd	8119#	2#	132952850#	320#
84	49	133	In	8215#	1#	132938310#	210#
83	50	133	Sn	8310.088	0.014	132923913.756	2.044
82	51	133	Sb	8364.729	0.024	132915272.130	3.357
81	52	133	Te	8389.025	0.016	132910963.332	2.218
80	53	133	I	8405.106	0.048	132907827.361	6.900
79	54	133	Xe	8412.647	0.018	132905910.750	2.576
78	55	133	Cs	8409.978	0.000	132905451.961	0.008
77	56	133	Ba	8400.206	0.007	132906007.325	1.065
76	57	133	La	8378.841	0.210	132908218.000	30.000
75	58	133	Ce	8349.829	0.123	132911520.402	17.557
74	59	133	Pr	8310.258	0.094	132916330.561	13.416
73	60	133	Nd	8262.231	0.350	132922348.000	50.000
72	61	133	Pm	8204.283	0.378	132929782.000	54.000
71	62	133	Sm	8137#	2#	132938560#	320#
70	63	133	Eu	8056#	2#	132949290#	320#
69	64	133	Gd	7964#	4#	132961503#	537#
86	48	134	Cd	8082#	3#	133958218#	429#
85	49	134	In	8171#	2#	133944540#	320#
84	50	134	Sn	8275.171	0.024	133928680.433	3.400
83	51	134	Sb	8325.950	0.013	133920535.675	1.830
82	52	134	Te	8383.643	0.020	133911396.379	2.948
81	53	134	I	8389.071	0.036	133909775.663	5.213
80	54	134	Xe	8413.699	0.000	133905393.033	0.010
79	55	134	Cs	8398.646	0.000	133906718.503	0.017
78	56	134	Ba	8408.171	0.002	133904508.399	0.326
77	57	134	La	8374.488	0.149	133908514.011	21.395
76	58	134	Ce	8365.771	0.152	133908928.142	21.886
75	59	134	Pr	8312.881	0.152	133915696.729	21.810
74	60	134	Nd	8285.538	0.088	133918790.210	12.686
73	61	134	Pm	8213.225	0.431	133928353.000	62.000
72	62	134	Sm	8167#	1#	133934110#	210#
71	63	134	Eu	8076#	2#	133946400#	320#
70	64	134	Gd	8006#	3#	133955660#	430#
86	49	135	In	8132#	3#	134950050#	430#
85	50	135	Sn	8230.687	0.023	134934908.605	3.300
84	51	135	Sb	8291.989	0.020	134925184.357	2.834
83	52	135	Te	8345.738	0.013	134916554.718	1.848
82	53	135	I	8384.760	0.015	134910059.382	2.212
81	54	135	Xe	8398.476	0.028	134907231.661	3.993
80	55	135	Cs	8401.336	0.007	134905977.234	1.064
79	56	135	Ba	8397.533	0.002	134905688.606	0.328
78	57	135	La	8382.795	0.070	134906984.568	10.127
77	58	135	Ce	8361.984	0.076	134909160.799	11.022
76	59	135	Pr	8328.928	0.088	134913111.774	12.686
75	60	135	Nd	8288.153	0.142	134918181.320	20.534
74	61	135	Pm	8236.717	0.559	134924796.000	81.000
73	62	135	Sm	8177.626	1.145	134932520.000	166.000
72	63	135	Eu	8107#	1#	134941870#	210#
71	64	135	Gd	8029#	3#	134952345#	429#
70	65	135	Tb	7938#	3#	134964760#	430#
87	49	136	In	8087#	3#	135956511#	429#
86	50	136	Sn	8195#	2#	135939990#	320#
85	51	136	Sb	8252.252	0.043	135930749.011	6.258
84	52	136	Te	8319.429	0.017	135920101.182	2.448
83	53	136	I	8351.323	0.104	135914604.695	15.231
82	54	136	Xe	8396.188	0.000	135907214.476	0.007
81	55	136	Cs	8389.770	0.014	135907311.590	2.020
80	56	136	Ba	8402.755	0.002	135904575.959	0.328
79	57	136	La	8376.050	0.391	135907634.962	57.081
78	58	136	Ce	8373.760	0.003	135907129.438	0.438
77	59	136	Pr	8330.008	0.084	135912677.532	12.297
76	60	136	Nd	8308.512	0.087	135914976.064	12.686
75	61	136	Pm	8243.720	0.508	135923595.949	74.152
74	62	136	Sm	8205.916	0.092	135928275.555	13.416
73	63	136	Eu	8122#	1#	135939620#	210#
72	64	136	Gd	8064#	2#	135947300#	320#
71	65	136	Tb	7963#	4#	135961213#	537#
88	49	137	In	8047#	4#	136962383#	537#
87	50	137	Sn	8149#	3#	136946550#	430#
86	51	137	Sb	8218.476	0.381	136935522.522	56.000
85	52	137	Te	8280.235	0.015	136925599.357	2.254
84	53	137	I	8326.002	0.061	136918028.180	9.000
83	54	137	Xe	8364.286	0.001	136911557.773	0.111
82	55	137	Cs	8388.956	0.003	136907089.464	0.384
81	56	137	Ba	8391.827	0.002	136905827.375	0.337
80	57	137	La	8381.879	0.012	136906450.618	1.780
79	58	137	Ce	8367.248	0.003	136907762.596	0.469
78	59	137	Pr	8341.706	0.059	136910679.304	8.735
77	60	137	Nd	8309.593	0.086	136914562.448	12.600
76	61	137	Pm	8263.651	0.095	136920479.522	14.000
75	62	137	Sm	8213.806	0.309	136926970.517	45.512
74	63	137	Eu	8150.573	0.032	136935430.722	4.700
73	64	137	Gd	8080#	2#	136945020#	320#
72	65	137	Tb	7999#	3#	136956020#	430#
88	50	138	Sn	8113#	4#	137951840#	540#
87	51	138	Sb	8175.091	7.712	137941792.000	1142.500
86	52	138	Te	8252.578	0.027	137929472.454	4.065
85	53	138	I	8292.444	0.043	137922726.394	6.400
84	54	138	Xe	8344.690	0.020	137914146.271	3.010
83	55	138	Cs	8360.142	0.066	137911017.207	9.832
82	56	138	Ba	8393.420	0.002	137905247.229	0.339
81	57	138	La	8375.125	0.023	137907117.834	3.422
80	58	138	Ce	8377.077	0.036	137905988.743	5.293
79	59	138	Pr	8339.255	0.081	137910752.059	11.969
78	60	138	Nd	8325.502	0.084	137911949.717	12.454
77	61	138	Pm	8268.544	0.201	137919548.077	29.778
76	62	138	Sm	8237.928	0.086	137923243.990	12.686
75	63	138	Eu	8161.620	0.202	137933709.000	30.000
74	64	138	Gd	8113#	1#	137940096#	210#
73	65	138	Tb	8019#	2#	137953120#	320#
72	66	138	Dy	7950#	4#	137962500#	540#
89	50	139	Sn	8066#	4#	138958733#	537#
88	51	139	Sb	8142#	3#	138946550#	430#
87	52	139	Te	8211.771	0.025	138935367.193	3.800
86	53	139	I	8265.609	0.029	138926493.403	4.300
85	54	139	Xe	8311.590	0.015	138918792.203	2.300
84	55	139	Cs	8342.338	0.023	138913363.992	3.370
83	56	139	Ba	8367.017	0.002	138908841.334	0.342
82	57	139	La	8378.025	0.014	138906358.804	2.156
81	58	139	Ce	8370.395	0.052	138906657.625	7.761
80	59	139	Pr	8349.449	0.056	138908943.270	8.383
79	60	139	Nd	8323.642	0.199	138911954.407	29.630
78	61	139	Pm	8285.543	0.098	138916799.806	14.592
77	62	139	Sm	8243.078	0.078	138922296.634	11.684
76	63	139	Eu	8187.218	0.095	138929792.310	14.117
75	64	139	Gd	8126#	1#	138938130#	210#
74	65	139	Tb	8052#	2#	138948330#	320#
73	66	139	Dy	7971#	4#	138959590#	540#
89	51	140	Sb	8100#	4#	139952830#	640#
88	52	140	Te	8184.847	0.446	139939262.917	67.000
87	53	140	I	8229.473	0.086	139931715.917	13.000
86	54	140	Xe	8290.887	0.017	139921645.817	2.500
85	55	140	Cs	8314.325	0.059	139917283.305	8.804
84	56	140	Ba	8353.160	0.057	139910606.666	8.516
83	57	140	La	8355.047	0.014	139909483.184	2.156
82	58	140	Ce	8376.317	0.011	139905446.424	1.713
81	59	140	Pr	8346.529	0.044	139909083.592	6.665
80	60	140	Nd	8337.875	0.025	139909544.332	3.700
79	61	140	Pm	8289.107	0.173	139916034.122	26.029
78	62	140	Sm	8263.820	0.089	139918994.717	13.416
77	63	140	Eu	8197.732	0.368	139928087.637	55.328
76	64	140	Gd	8154.975	0.200	139933674.000	30.000
75	65	140	Tb	8068.672	5.718	139945805.049	859.359
74	66	140	Dy	8008#	3#	139954020#	430#
73	67	140	Ho	7906#	4#	139968589#	540#
90	51	141	Sb	8066#	4#	140958014#	537#
89	52	141	Te	8141#	3#	140945800#	430#
88	53	141	I	8202.255	0.112	140935666.084	17.000
87	54	141	Xe	8255.364	0.020	140926787.184	3.100
86	55	141	Cs	8294.356	0.065	140920045.086	9.871
85	56	141	Ba	8326.078	0.038	140914403.500	5.710
84	57	141	La	8343.217	0.030	140910969.222	4.528
83	58	141	Ce	8355.408	0.011	140908283.987	1.714
82	59	141	Pr	8353.992	0.012	140907658.403	1.787
81	60	141	Nd	8335.515	0.023	140909615.488	3.505
80	61	141	Pm	8303.940	0.099	140913555.084	15.000
79	62	141	Sm	8265.845	0.061	140918481.591	9.167
78	63	141	Eu	8217.684	0.090	140924931.745	13.568
77	64	141	Gd	8164.608	0.140	140932126.000	21.213
76	65	141	Tb	8097.475	0.747	140941448.000	113.000
75	66	141	Dy	8027#	2#	140951280#	320#
74	67	141	Ho	7943#	3#	140963108#	430#
90	52	142	Te	8111#	4#	141950220#	540#
89	53	142	I	8165.019	2.637	141941202.000	402.000
88	54	142	Xe	8233.169	0.019	141929973.098	2.900
87	55	142	Cs	8264.877	0.050	141924299.512	7.586
86	56	142	Ba	8310.971	0.042	141916432.888	6.355
85	57	142	La	8320.828	0.044	141914090.454	6.773
84	58	142	Ce	8347.071	0.018	141909249.884	2.693
83	59	142	Pr	8336.310	0.012	141910050.440	1.786
82	60	142	Nd	8346.030	0.010	141907728.895	1.468
81	61	142	Pm	8306.662	0.166	141912890.428	25.332
80	62	142	Sm	8285.972	0.022	141915204.532	3.305
79	63	142	Eu	8226.427	0.212	141923441.836	32.375
78	64	142	Gd	8190.256	0.197	141928116.000	30.000
77	65	142	Tb	8111.507	4.934	141939280.859	752.079
76	66	142	Dy	8061#	5#	141946194#	782#
75	67	142	Ho	7965#	3#	141960010#	430#
74	68	142	Er	7894#	4#	141969909#	537#
91	52	143	Te	8068#	4#	142956760#	540#
90	53	143	I	8135#	1#	142945646#	215#
89	54	143	Xe	8196.885	0.033	142935369.553	5.000
88	55	143	Cs	8243.670	0.053	142927347.348	8.130
87	56	143	Ba	8281.987	0.047	142920625.150	7.253
86	57	143	La	8306.127	0.051	142916079.422	7.869
85	58	143	Ce	8324.678	0.018	142912391.630	2.692
84	59	143	Pr	8329.428	0.013	142910822.564	2.037
83	60	143	Nd	8330.488	0.010	142909819.887	1.467
82	61	143	Pm	8317.733	0.021	142910938.073	3.216
81	62	143	Sm	8288.182	0.020	142914634.821	3.010
80	63	143	Eu	8245.817	0.077	142920298.681	11.793
79	64	143	Gd	8198.318	1.401	142926750.682	215.032
78	65	143	Tb	8138.217	0.358	142935137.335	55.000
77	66	143	Dy	8075.052	0.091	142943994.335	14.000
76	67	143	Ho	7999#	2#	142954860#	320#
75	68	143	Er	7918#	3#	142966441#	429#
91	53	144	I	8098#	3#	143951390#	430#
90	54	144	Xe	8172.884	0.037	143938945.079	5.700
89	55	144	Cs	8211.889	0.140	143932075.404	21.612
88	56	144	Ba	8265.454	0.050	143922954.821	7.661
87	57	144	La	8281.428	0.090	143919645.589	13.888
86	58	144	Ce	8314.760	0.020	143913652.830	3.096
85	59	144	Pr	8311.540	0.019	143913310.750	2.965
84	60	144	Nd	8326.922	0.009	143910092.865	1.467
83	61	144	Pm	8305.296	0.021	143912596.224	3.181
82	62	144	Sm	8303.679	0.011	143912006.373	1.668
81	63	144	Eu	8254.173	0.075	143918819.517	11.582
80	64	144	Gd	8221.937	0.194	143922963.000	30.000
79	65	144	Tb	8151.287	0.194	143933045.000	30.000
78	66	144	Dy	8105.589	0.050	143939269.514	7.700
77	67	144	Ho	8017.097	0.059	143952109.714	9.100
76	68	144	Er	7956#	1#	143960700#	210#
75	69	144	Tm	7851#	3#	143976104#	429#
92	53	145	I	8068#	3#	144956050#	540#
91	54	145	Xe	8135.087	0.077	144944719.634	12.000
90	55	145	Cs	8188.733	0.063	144935528.930	9.733
89	56	145	Ba	8234.798	0.058	144927518.400	9.100
88	57	145	La	8266.087	0.085	144921808.066	13.170
87	58	145	Ce	8289.875	0.234	144917265.144	36.395
86	59	145	Pr	8302.127	0.049	144914518.033	7.696
85	60	145	Nd	8309.187	0.010	144912579.199	1.485
84	61	145	Pm	8302.657	0.020	144912755.773	3.068
83	62	145	Sm	8293.013	0.011	144913417.244	1.694
82	63	145	Eu	8269.274	0.021	144916272.668	3.334
81	64	145	Gd	8228.946	0.136	144921710.370	21.158
80	65	145	Tb	8178.461	0.753	144928729.105	117.203
79	66	145	Dy	8116.888	0.045	144937473.994	7.000
78	67	145	Ho	8048.578	0.051	144947267.394	8.000
77	68	145	Er	7975#	1#	144957874#	215#
76	69	145	Tm	7889#	1#	144970389#	210#
92	54	146	Xe	8110.415	0.166	145948518.248	26.000
91	55	146	Cs	8155.436	0.020	145940621.870	3.106
90	56	146	Ba	8216.082	0.143	145930276.431	22.397
89	57	146	La	8238.828	0.230	145925871.468	36.088
88	58	146	Ce	8278.573	0.112	145918802.065	17.504
87	59	146	Pr	8280.376	0.238	145917679.549	37.376
86	60	146	Nd	8304.092	0.009	145913122.503	1.488
85	61	146	Pm	8288.654	0.030	145914702.286	4.624
84	62	146	Sm	8293.857	0.021	145913046.881	3.319
83	63	146	Eu	8261.932	0.041	145917210.909	6.468
82	64	146	Gd	8249.506	0.028	145918318.548	4.409
81	65	146	Tb	8187.146	0.307	145927252.768	48.161
80	66	146	Dy	8146.112	0.046	145932844.529	7.187
79	67	146	Ho	8063.242	0.045	145944993.506	7.071
78	68	146	Er	8010.512	0.046	145952418.359	7.197
77	69	146	Tm	7914#	1#	145966661#	215#
93	54	147	Xe	8072#	1#	146954525#	215#
92	55	147	Cs	8131.800	0.057	146944261.515	9.000
91	56	147	Ba	8183.240	0.134	146935303.900	21.200
90	57	147	La	8221.553	0.073	146928417.800	11.500
89	58	147	Ce	8252.527	0.058	146922689.903	9.211
88	59	147	Pr	8270.539	0.108	146919007.458	17.023
87	60	147	Nd	8283.603	0.009	146916106.010	1.490
86	61	147	Pm	8284.372	0.010	146915144.638	1.501
85	62	147	Sm	8280.575	0.009	146914904.064	1.473
84	63	147	Eu	8263.541	0.018	146916752.276	2.823
83	64	147	Gd	8243.336	0.013	146919100.987	2.109
82	65	147	Tb	8206.624	0.055	146924054.620	8.695
81	66	147	Dy	8156.767	0.060	146931082.715	9.500
80	67	147	Ho	8094.037	0.034	146940142.295	5.368
79	68	147	Er	8026.475	0.260	146949964.458	41.000
78	69	147	Tm	7948.817	0.047	146961379.890	7.341
94	54	148	Xe	8047#	2#	147958561#	322#
93	55	148	Cs	8097.546	0.088	147949639.029	14.000
92	56	148	Ba	8164.441	0.426	147938170.578	67.718
91	57	148	La	8193.716	0.132	147932679.400	20.900
90	58	148	Ce	8240.387	0.076	147924424.196	12.018
89	59	148	Pr	8249.540	0.102	147922130.015	16.148
88	60	148	Nd	8277.177	0.014	147916899.093	2.283
87	61	148	Pm	8268.226	0.039	147917481.255	6.143
86	62	148	Sm	8279.633	0.009	147914829.012	1.467
85	63	148	Eu	8253.827	0.068	147918089.294	10.748
84	64	148	Gd	8248.338	0.011	147918121.503	1.668
83	65	148	Tb	8204.321	0.084	147924275.323	13.380
82	66	148	Dy	8180.943	0.059	147927149.772	9.366
81	67	148	Ho	8108.979	0.566	147937743.928	90.000
80	68	148	Er	8059.692	0.069	147944735.029	11.000
79	69	148	Tm	7968.500	0.069	147958384.029	11.000
78	70	148	Yb	7906#	3#	147967439#	429#
94	55	149	Cs	8073#	3#	148953569#	429#
93	56	149	Ba	8133.793	2.938	148942973.000	470.000
92	57	149	La	8176.191	1.344	148935351.260	214.990
91	58	149	Ce	8214.229	0.069	148928426.900	11.000
90	59	149	Pr	8238.303	0.066	148923736.100	10.600
89	60	149	Nd	8255.442	0.014	148920154.648	2.284
88	61	149	Pm	8261.526	0.015	148918341.658	2.434
87	62	149	Sm	8263.466	0.009	148917191.375	1.407
86	63	149	Eu	8253.554	0.027	148917937.086	4.241
85	64	149	Gd	8239.484	0.023	148919347.831	3.607
84	65	149	Tb	8209.815	0.025	148923253.753	3.936
83	66	149	Dy	8179.109	0.062	148927325.448	9.898
82	67	149	Ho	8133.259	0.080	148933819.672	12.871
81	68	149	Er	8074.955	0.188	148942306.000	30.000
80	69	149	Tm	8004#	1#	148952890#	210#
79	70	149	Yb	7927#	2#	148964360#	322#
95	55	150	Cs	8039#	3#	149959023#	429#
94	56	150	Ba	8112#	2#	149946430#	322#
93	57	150	La	8148.225	2.903	149939742.000	467.500
92	58	150	Ce	8201.122	0.078	149930384.035	12.556
91	59	150	Pr	8218.931	0.060	149926676.415	9.678
90	60	150	Nd	8249.577	0.009	149920901.525	1.384
89	61	150	Pm	8243.810	0.134	149920990.217	21.514
88	62	150	Sm	8261.621	0.009	149917282.195	1.368
87	63	150	Eu	8241.346	0.042	149919707.229	6.712
86	64	150	Gd	8242.609	0.041	149918664.066	6.523
85	65	150	Tb	8206.338	0.049	149923664.864	7.927
84	66	150	Dy	8189.149	0.029	149925593.080	4.667
83	67	150	Ho	8134.842	0.094	149933498.358	15.210
82	68	150	Er	8102.195	0.115	149937915.528	18.459
81	69	150	Tm	8021#	1#	149950090#	210#
80	70	150	Yb	7964#	2#	149958520#	322#
79	71	150	Lu	7865#	2#	149973548#	322#
96	55	151	Cs	8013#	3#	150963253#	537#
95	56	151	Ba	8079#	3#	150951755#	429#
94	57	151	La	8129.043	2.884	150942769.000	467.500
93	58	151	Ce	8176.277	0.117	150934272.200	19.000
92	59	151	Pr	8207.881	0.077	150928309.114	12.507
91	60	151	Nd	8230.272	0.009	150923839.565	1.387
90	61	151	Pm	8241.270	0.031	150921216.817	4.994
89	62	151	Sm	8243.971	0.008	150919939.066	1.367
88	63	151	Eu	8239.297	0.009	150919856.860	1.422
87	64	151	Gd	8231.043	0.020	150920355.109	3.280
86	65	151	Tb	8208.873	0.027	150923109.001	4.441
85	66	151	Dy	8184.678	0.022	150926191.253	3.535
84	67	151	Ho	8145.526	0.055	150931698.177	8.912
83	68	151	Er	8104.872	0.109	150937448.567	17.681
82	69	151	Tm	8050.064	0.129	150945493.201	20.843
81	70	151	Yb	7983.755	1.990	150955402.458	322.591
80	71	151	Lu	7903#	2#	150967677#	322#
97	55	152	Cs	7979#	3#	151968942#	537#
96	56	152	Ba	8057#	3#	151955222#	429#
95	57	152	La	8102#	2#	151947085#	322#
94	58	152	Ce	8161#	1#	151936682#	215#
93	59	152	Pr	8187.104	0.122	151931552.900	19.900
92	60	152	Nd	8224.005	0.161	151924691.509	26.285
91	61	152	Pm	8226.127	0.170	151923505.481	27.817
90	62	152	Sm	8244.061	0.008	151919739.040	1.301
89	63	152	Eu	8226.583	0.009	151921751.235	1.423
88	64	152	Gd	8233.401	0.008	151919798.822	1.294
87	65	152	Tb	8202.004	0.263	151924082.263	42.961
86	66	152	Dy	8192.916	0.030	151924725.363	4.963
85	67	152	Ho	8144.919	0.082	151931717.465	13.450
84	68	152	Er	8119.349	0.058	151935050.169	9.479
83	69	152	Tm	8056.438	0.355	151944476.000	58.000
82	70	152	Yb	8015.436	0.985	151950326.700	160.718
81	71	152	Lu	7926#	1#	151964120#	210#
97	56	153	Ba	8023#	3#	152960848#	429#
96	57	153	La	8081#	2#	152950553#	322#
95	58	153	Ce	8134#	1#	152941052#	215#
94	59	153	Pr	8172.036	0.078	152933903.532	12.755
93	60	153	Nd	8204.582	0.018	152927717.949	2.948
92	61	153	Pm	8221.152	0.059	152924156.436	9.732
91	62	153	Sm	8228.534	0.008	152922103.969	1.309
90	63	153	Eu	8228.699	0.009	152921237.043	1.428
89	64	153	Gd	8220.418	0.008	152921757.359	1.291
88	65	153	Tb	8205.048	0.026	152923441.978	4.289
87	66	153	Dy	8185.749	0.026	152925771.992	4.346
86	67	153	Ho	8153.637	0.033	152930206.632	5.468
85	68	153	Er	8118.827	0.061	152935084.279	10.006
84	69	153	Tm	8071.261	0.078	152942057.244	12.864
83	70	153	Yb	8022#	1#	152949320#	210#
82	71	153	Lu	7959.070	0.981	152958805.054	161.068
81	72	153	Hf	7882#	2#	152970692#	322#
98	56	154	Ba	8000#	3#	153964766#	537#
97	57	154	La	8051#	2#	153955416#	322#
96	58	154	Ce	8116#	1#	153943940#	215#
95	59	154	Pr	8148.892	0.734	153937621.738	121.320
94	60	154	Nd	8193.942	0.342	153929333.977	56.513
93	61	154	Pm	8206.310	0.301	153926449.364	49.733
92	62	154	Sm	8226.835	0.009	153922216.164	1.569
91	63	154	Eu	8217.098	0.009	153922985.955	1.444
90	64	154	Gd	8224.796	0.008	153920873.398	1.285
89	65	154	Tb	8196.666	0.294	153924684.106	48.646
88	66	154	Dy	8193.129	0.048	153924429.028	7.992
87	67	154	Ho	8150.681	0.053	153930606.841	8.833
86	68	154	Er	8132.392	0.032	153932790.743	5.353
85	69	154	Tm	8074.208	0.094	153941570.067	15.472
84	70	154	Yb	8039.939	0.112	153946395.701	18.552
83	71	154	Lu	7969#	1#	153957364#	211#
82	72	154	Hf	7918#	2#	153964927#	322#
98	57	155	La	8028#	3#	154959280#	429#
97	58	155	Ce	8087#	2#	154948706#	322#
96	59	155	Pr	8131.039	0.111	154940509.259	18.462
95	60	155	Nd	8170.304	0.059	154933135.668	9.826
94	61	155	Pm	8195.296	0.030	154928137.024	5.065
93	62	155	Sm	8211.223	0.010	154924647.051	1.595
92	63	155	Eu	8216.674	0.009	154922900.102	1.504
91	64	155	Gd	8213.251	0.008	154922629.796	1.278
90	65	155	Tb	8202.914	0.064	154923509.921	10.573
89	66	155	Dy	8184.354	0.062	154925758.459	10.375
88	67	155	Ho	8159.203	0.113	154929103.634	18.759
87	68	155	Er	8129.444	0.039	154933215.684	6.546
86	69	155	Tm	8088.375	0.064	154939209.578	10.654
85	70	155	Yb	8043.823	0.107	154945783.217	17.820
84	71	155	Lu	7987.436	0.124	154954326.011	20.661
83	72	155	Hf	7928#	2#	154963317#	320#
82	73	155	Ta	7857#	2#	154974312#	322#
99	57	156	La	7997#	3#	155964519#	429#
98	58	156	Ce	8068#	2#	155951884#	322#
97	59	156	Pr	8106#	1#	155944640#	215#
96	60	156	Nd	8158.066	1.282	155935078.868	214.744
95	61	156	Pm	8176.705	0.023	155931117.490	3.897
94	62	156	Sm	8205.003	0.055	155925538.511	9.174
93	63	156	Eu	8204.617	0.023	155924763.285	3.853
92	64	156	Gd	8215.322	0.008	155922130.562	1.277
91	65	156	Tb	8194.639	0.024	155924754.430	4.094
90	66	156	Dy	8192.433	0.008	155924284.038	1.281
89	67	156	Ho	8155.046	0.385	155929705.436	64.425
88	68	156	Er	8141.908	0.158	155931065.890	26.440
87	69	156	Tm	8089.603	0.092	155938985.597	15.328
86	70	156	Yb	8061.711	0.060	155942816.893	9.992
85	71	156	Lu	7995.374	0.347	155953086.606	58.102
84	72	156	Hf	7952.650	0.960	155959401.889	160.770
83	73	156	Ta	7871#	2#	155972237#	320#
99	58	157	Ce	8037#	3#	156957133#	429#
98	59	157	Pr	8086#	2#	156947890#	322#
97	60	157	Nd	8131.959	0.159	156939386.037	26.750
96	61	157	Pm	8164.145	0.045	156933121.370	7.521
95	62	157	Sm	8187.063	0.028	156928418.673	4.759
94	63	157	Eu	8199.795	0.027	156925432.791	4.572
