compound,raw_values,measurement_wavelength
CsCl-PEG4000-H2O,1.4172,
CsCl-PEG4000-H2O,1.4037,
CsCl-PEG4000-H2O,1.4207,
CsCl-PEG4000-H2O,1.4051,
CsCl-PEG4000-H2O,1.426,
CsCl-PEG4000-H2O,1.4081,
CsCl-PEG4000-H2O,1.4299,
CsCl-PEG4000-H2O,1.4108,
CsCl-PEG4000-H2O,1.4338,
CsCl-PEG4000-H2O,1.4141,
CsCl-PEG6000-H2O,1.4177,
CsCl-PEG6000-H2O,1.3924,
CsCl-PEG6000-H2O,1.418,
CsCl-PEG6000-H2O,1.4007,
CsCl-PEG6000-H2O,1.4187,
CsCl-PEG6000-H2O,1.4014,
CsCl-PEG6000-H2O,1.4206,
CsCl-PEG6000-H2O,1.4022,
CsCl-PEG6000-H2O,1.422,
CsCl-PEG6000-H2O,1.403,
Al42Ga58As,3.47,
Al42Ga58As,3.216,
MEL,1.0026,
NO3−,7.8,
NO3−,9.9,
NO3−,2,
NO3−,6.4,
NH4NO3,3.2,
NH4NO3,2.6,
NH4NO3,4.9,
NH4NO3,5.5,
MeOH,1.33,
Silicon,3.44,
Ethanol,1.35926,
Ethanol,1.35941,
n-Hexane,1.37227,
n-Hexane,1.37226,
n-Heptane,1.38491,
n-Heptane,1.38511,
n-Octane,1.39509,
n-Octane,1.39505,
n-Nonane,1.40298,
n-Nonane,1.40311,
SiO2,1.46,
THC,3,
SO2,3,
Staurolite,1.75,
Kyanite,1.72,
Beryl,1.58,
Na2[Al2Si6O10]2H2O,1.47,
Olivine,1.63,
Quartz,1.55,
Silicon nitride,2.05,
Silicon,3.45,
Sapphire,1.76,
silica,1.45,
Silica,1.03,
Silica,1.043,
Silica,1.0429,
Silica,1.044,
PMDA,1.6923,
PMDA,1.6342,
PMDA,1.6731,
silica,1.44,
Cefamandole,1.63,
Cefamandole,1.07,
Silica,1.471,
ethanol,1.359,
ethanol,1.3462,
ethanol,1.3391,
Benzene,1.498,
Carbon tetrachloride,1.459,
"1,4-dioxane",1.42,
Poly(4-methyl-1-pentene),1.464,
Poly(1-decene),1.473,
Poly(oxymethylene),1.48,
Polyethylene,1.502,
Polyacrylonitrile,1.52,
Poly(N-vinylpyrrolidone),1.53,
Polychloroprene,1.558,
methacrylate,1.568,
Polystyrene,1.592,
Silicon,4,
Dioxane,1.422,
Benzene,1.501,
Toluene,1.497,
Ethyl acetate,1.372,
Butanol,1.399,
Acetone,1.359,
Ethanol,1.361,
Methanol,1.329,
Acetonitrile,1.344,
DMF,1.43,
DMSO,1.479,
DMSO,1.479,
DMF,1.43,
Toluene,1.097,
"1,4-Dioxane",1.422,
Ethyl acetate,1.372,
Acetone,1.359,
Acetonitrile,1.344,
2-Propanol,1.377,
Ethanol,1.361,
Methanol,1.329,
Sapphire,1.77,
Sugar,8.4,
Sugar,8.1,
Sugar,8.1,
Sugar,7.9,
Sugar,7.1,
Sugar,3.7,
Hexane,1.3749,
Tetrahydrofuran,1.407,
Acetonitrile,1.3441,
CeO2,2.352,
CeO2,2.702,
CeO2,2.78,
CeO2,2.467,
MgF2,1.386,
MgF2,1.385,
Methanol,1.4653,
Methanol,1.4567,
Methanol,1.4524,
Methanol,1.4603,
Methanol,1.4633,
Polycarbonate,1.55,
Pentane,1.358,
Hexane,1.375,
Heptane,1.388,
Decane,1.408,
Toluene,1.497,
Ethyl acetate,1.372,
Acetonitrile,1.346,
Hexadecane,1.42,
NaCl,1.3333,
NaCl,1.3354,
NaCl,1.335,
NaCl,1.3373,
NaCl,1.3417,
NaCl,1.344,
NaCl,1.349,
NaCl,1.3511,
NaCl,1.362,
NaCl,1.3644,
N2 PDA,1.51,
N2 PDA,1.48,
NO,1.52,
NO,1.47,
Tetrahydrofuran,1.404636,
Tetrahydrofuran,1.40468,
Tetrahydropyran,1.418706,
Tetrahydropyran,1.41865,
1-Chlorohexane,1.417327,
1-Chlorohexane,1.4172,
Al2O3,1.55,
MgO,1.85,
BaO,2,
Cr2O3,2.3,
TiO2,2.5,
Ethanol,1.32,
Methanol,1.32,
Dimethylformamide,1.43,
CH2CHCHCH,5.63,
C5H6,4,
C5H5,2.7,
C5H5,2.16,
C6H5,3.04,
Acenaphthylene,3.62,
SiO2,1.44,
Silicon,3.44,
Germanium,4,
Quinine sulfate,1.33,
malic acid,1.04,
Sorbitol,3.66,
Fructose,6.73,
Sorbitol,3.65,
Glucose,8.32,
Shikimic acid,3.31,
Glucose,8.31,
Shikimic acid,3.29,
Chlorogenic acid,1.83,
Nera,7.74,
Chlorogenic acid,1.82,
triamcinolone acetonide,7,
Fluocinolone acetonide,3,
Methotrexate,2,
Azathioprine,4,
Mycophenolate mofetil,4,
Toluene,1.4969,
Toluene,1.4971,
Heptane,1.3876,
Isooctane,1.3915,
Cyclohexane,1.4262,
CCl4,1.4601,
Toluene,1.4961,
Dioxane,1.4224,
CS2,1.628,
CHCl3,1.4459,
C6H5Cl,1.5248,
Ethyl acetate,1.3723,
Triacetin,1.43,
n-Decanol,1.437,
CH2Cl2,1.4242,
n-Hexanol,1.4178,
EtOH,1.3614,
MeOH,1.3288,
DMF,1.4305,
MeCN,1.3442,
Ethylene glycol,1.4318,
DMSO,1.477,
nickel,5.9457,
nickel,4.7267,
nickel,4.1336,
nickel,3.759,
nickel,3.4938,
fluorescein,3.12,
fluorescein,4.18,
fluorescein,2.33,
fluorescein,3.47,
fluorescein,1.75,
fluorescein,1.47,
fluorescein,2.12,
Acetone,1.357,
Methanol,1.326,
Nitroethane,1.39,
Nd2O3,7.484,
Nd2O3,6.568,
Nd2O3,5.967,
Nd2O3,2.0275,
Nd2O3,2.0355,
Nd2O3,2.042,
Nd2O3,2.068,
Heptane,1.386,
Toluene,1.497,
ETBE,1.0062,
Dibutyl ether,1.0148,
Dipentyl ether,1.0203,
Diisopentyl ether,1.02,
Dihexyl ether,1.0236,
Diheptyl ether,1.0271,
Dioctyl ether,1.0296,
Mannose,8,
Maltose,8,
Maltotriose,8,
Maltotetraose,8,
Maltopentaose,8,
Maltohexaose,8,
Maltoheptaose,8,
Mannose,3,
Maltose,3,
Maltotriose,3,
Maltotetraose,3,
Maltopentaose,3,
Maltohexaose,3,
Maltoheptaose,3,
Mannose,6,
Maltose,6,
Maltotriose,6,
Maltotetraose,6,
Maltopentaose,6,
Maltohexaose,6,
Maltoheptaose,6,
LiNbO3,2.2031,
LiNbO3,2.287,
KTiOPO4,1.7628,
KTiOPO4,1.7716,
KTiOPO4,1.8639,
Li2B4O7,1.5505,
Li2B4O7,1.6091,
PMMA,1.49,
benzene,1.4944,
benzene,1.4871,
benzene,1.4801,
benzene,1.4678,
benzene,1.4618,
benzene,1.457,
benzene,1.4921,
benzene,1.4848,
benzene,1.4715,
benzene,1.4605,
benzene,1.4548,
benzene,1.4938,
benzene,1.4873,
benzene,1.4803,
benzene,1.4739,
benzene,1.4619,
benzene,1.4562,
benzene,1.4918,
benzene,1.4851,
benzene,1.4781,
benzene,1.4718,
benzene,1.4656,
benzene,1.46,
benzene,1.4545,
benzene,1.4895,
benzene,1.4827,
benzene,1.476,
benzene,1.4698,
benzene,1.4637,
benzene,1.4582,
benzene,1.4528,
benzene,1.4876,
benzene,1.4816,
benzene,1.4752,
benzene,1.4691,
benzene,1.4634,
benzene,1.4577,
benzene,1.4857,
benzene,1.4795,
benzene,1.473,
benzene,1.4673,
benzene,1.4615,
benzene,1.4557,
benzene,1.4837,
benzene,1.4774,
benzene,1.4711,
benzene,1.4654,
benzene,1.4595,
benzene,1.4541,
benzene,1.4495,
benzene,1.48,
benzene,1.4737,
benzene,1.4677,
benzene,1.4625,
benzene,1.4576,
benzene,1.4524,
benzene,1.4478,
benzene,1.4779,
benzene,1.4717,
benzene,1.4661,
benzene,1.461,
benzene,1.4559,
benzene,1.4508,
benzene,1.4462,
benzene,1.4759,
benzene,1.4699,
benzene,1.4644,
benzene,1.4592,
benzene,1.4542,
benzene,1.4493,
benzene,1.4452,
EtOH,1.36,
PVC,1.52,
ZnO,1.95,
AlN,1.96,
Quartz,1.46,
LiNbO3,2.29,
LiTaO3,2.18,
PVDF,1.42,
PVD-25,1.66,
BPB,2.051,
BPB,1.486,
BPB,1.491,
PMMA,1.491,
PMMA,1.487,
BPB,1.49,
Toluene,1.4939,
Toluene,1.49413,
Methyl acetate,1.35893,
Methyl acetate,1.3589,
Methyl propanoate,1.37443,
Methyl propanoate,1.3742,
Methyl butanoate,1.38509,
Methyl butanoate,1.3847,
Methyl heptanoate,1.40945,
Butyl acetate,1.39191,
Butyl acetate,1.3918,
PMMA,1.49,
Cyclohexane,1.4266,
Chloroform,1.4476,
Acetonitrile,1.3442,
Methanol,1.3288,
DMSO,1.417,
Acetonitrile,1.3443,
Acetonitrile,1.34423,
1-Heptanol,1.4242,
1-Heptanol,1.4249,
1-Octanol,1.4298,
1-Octanol,1.4295,
2-Methoxyethanol,1.4004,
2-Methoxyethanol,1.4002,
n-Pentane,1.3524,
n-Pentane,1.3547,
n-Hexane,1.3729,
n-Hexane,1.3723,
n-Octane,1.3954,
n-Octane,1.395,
n-Decane,1.4097,
Cyclohexane,1.424,
Cyclohexane,1.4235,
BiBaS1,2.04,
BiBaS2,2.05,
BiBaS3,2.09,
BiBaS4,2.08,
BiBaS5,2.08,
AlN,1.47,
AlN,1.69,
Iso-octyl triethoxy silane,1.41,
ZrO2,1.52,
ZrO2,1.537,
ZrO2,1.573,
ZrO2,1.578,
ZrO2,1.592,
ZrO2,1.62,
ErBT,2.409,
CTAB,1.362,
CTAB,1.418,
WC,5.51,
WC,5.39,
WC,5.59,
WC,3.29,
WC,2.79,
WC,5.65,
WC,6.32,
WC,6,
Hoggar,2.7,
Hoggar,2.3,
Hoggar,5.15,
Hoggar,2.95,
Hoggar,4.28,
Hoggar,3.95,
Hoggar,3.36,
Hoggar,2.75,
Hoggar,4.76,
Hoggar,3.86,
Hoggar,4.81,
Hoggar,3.53,
Hoggar,6,
Hoggar,4.73,
Hoggar,3.9,
Hoggar,4.38,
WC,5.51,
WC,4.08,
WC,3.81,
WC,2.3,
WC,5.39,
WC,4.79,
WC,3.37,
WC,2.12,
WC,5.59,
WC,3.72,
WC,1.85,
WC,2.79,
WC,2.78,
WC,2.51,
WC,2.28,
WC,3.29,
WC,3.28,
WC,2.9,
WC,2.66,
WC,5.65,
WC,5.55,
WC,4.24,
WC,6.32,
WC,6.18,
WC,6,
ZnS,2.2,
YbF3,1.4,
C–Cl,3,
TiO2,1.62,
TiO2,1.79,
TiO2,1.99,
TiO2,2.22,
Tb2.92Pr0.08Ga5O12,1.94,
Tb2.92Pr0.08Ga5O12,1.92,
Tb3Ga5O12,1.96,
Tb3Ga5O12,1.95,
Toluene,1.497,
MeOH,1.328,
DMSO,1.479,
Propane,3.4,
Propane,3.3,
Propane,1.4,
Propane,1.8,
Propane,1.1,
Thianthrene,1.421,
Thianthrene,1.715,
TRITAN,8.6,
TRITAN,1.51,
CdSe,2.5,
ZnTe,2.68,
Silicon,3.45,
YBG-S,3.39,
Heptane,1.3891,
Dodecane,1.3325,
Dodecane,1.4195,
Toluene,1.44,
Toluene,1.494,
Ethanol,1.3592,
Ethanol,5.679705,
Methanol,1.3264,
Methanol,5.66326,
MTBE,1.3666,
MTBE,6.18315,
BSO,2.615,
BTO,2.66,
Ethanol,1.3592,
Ethanol,1.35941,
1-Octanol,1.4275,
1-Octanol,1.4275,
MTBE,1.3663,
Met,2,
glyoxal,1.5,
SUS316L,2.6,
Titanium,2.5,
Zirconium,2.2,
Tantalum,2.16,
Chromium,4.43,
Nickel,2.08,
Guanine,1.31,
Guanine,1.42,
Guanine,1.44,
Aniline,1.584,
Aniline,1.583031,
Benzene,1.498,
Benzene,1.498031,
Toluene,1.494,
Toluene,1.494031,
o-xylene,1.502,
o-xylene,1.502831,
p-xylene,1.493,
p-xylene,1.493231,
PDMS,1.41,
Methyl acetate,1.3585,
Methyl acetate,1.3589,
Methanol,1.32645,
Methanol,1.32652,
1-Butanol,1.39702,
1-Butanol,1.3973,
Acetonitrile,1.3284,
Methanol,1.3284,
Ethanol,1.3614,
Acetone,1.3586,
Isopropanol,1.3856,
Dichloromethane,1.4241,
Cyclohexane,1.424,
Methanol,1.329,
Ethanol,1.361,
2-Propanol,1.377,
1-Butanol,1.399,
Nonanol,1.427,
Decanol,1.437,
DMSO,1.479,
Acetonitrile,1.344,
PVC,1.7,
Methanol,1.33,
Ethanol,1.36,
DMF,1.43,
Chloroform,1.44,
DMSO,1.48,
Dimethylbenzene,1.5,
aldehydes,3,
GFLX,1.18,
GFLX,1.11,
Warfarin,1.14,
Ibuprofen,1.05,
PACG,1.63,
PACG,1.75,
PACG,7.71,
Polystyrene,1.59,
BBG-5,2.2,
Silicate,1.585,
Phosphate,1.569,
Tellurite,2.04,
Dibutyl ether,1.403648,
Dibutyl ether,1.401263,
Dibutyl ether,1.398873,
Dibutyl ether,1.396509,
Dibutyl ether,1.3965,
Dibutyl ether,1.394106,
Dibutyl ether,1.391675,
Dibutyl ether,1.389252,
1-Chlorobutane,1.407504,
1-Chlorobutane,1.404813,
1-Chlorobutane,1.402123,
1-Chlorobutane,1.3995,
1-Chlorobutane,1.39953,
1-Chlorobutane,1.396716,
1-Chlorobutane,1.393949,
1-Chlorobutane,1.391309,
Ethanol,1.369,
ethanol,1.365,
ethanol,1.361,
ethanol,1.357,
ethanol,1.353,
ethanol,1.349,
ethanol,1.346,
ethanol,1.342,
ethanol,1.338,
ethanol,1.334,
Ethyl bromide,3,
Ethyl bromide,4,
2-Propanol,1.3745,
"1,4-Dioxane",1.4205,
"1,4-Dioxane",1.42025,
Apigenin,1.02,
Apigenin,1.21,
Luteolin,1.09,
Morin,1.18,
Morin,1.41,
Liquiritigenin,1.27,
Liquiritigenin,1.33,
Naringenin,1.02,
Daidzein,1.56,
Daidzein,1.43,
Genistein,1.06,
Genistein,1.14,
GaAs,3.62,
GaN,2.39,
Methanol,1.326,
Ethanol,1.359,
Acetonitrile,1.342,
Glycerol,1.474,
Pyridine,1.507,
"1,4-Dioxane",1.42,
CTAB,1.51,
Titania,2.7,
Zinc oxide,2,
quartz,1.59,
InSb,3.51,
Glycerol,1.45,
bilirubin,6.7,
InSb,3.96,
silica,2.1,
THF,1.407,
EtOH,1.4694,
DMF,1.4305,
PMMA,1.4893,
Dioxane,1.42,
Ethyl acetate,1.37,
Acetonitrile,1.34,
DMF,1.43,
DMSO,1.48,
1-Octanol,1.43,
1-Butanol,1.4,
n-Propanol,1.39,
Ethanol,1.35,
Methanol,1.33,
Chloroform,1.45,
"1,2-Dichloroethane",1.4196,
"1,2-Dichloroethane",1.41959,
"1,1,1-Trichloroethane",1.4379,
"1,1,1-Trichloroethane",1.43792,
"1,1,2,2-Tetrachloroethane",1.494,
"1,1,2,2-Tetrachloroethane",1.49389,
Tetrachloroethylene,1.505,
Tetrachloroethylene,1.50499,
m-Cresol,1.5438,
m-Cresol,1.54381,
GaAs,3.92,
Oleic Acid,1.459,
Polyethylene glycol,1.469,
Barium,1.93,
Dioxane,1.422,
Benzene,1.501,
Toluene,1.497,
Ethylacetate,1.372,
Butanol,1.399,
Ethanol,1.361,
Methanol,1.329,
Acetonitrile,1.344,
DMF,1.43,
DMSO,1.479,
Sucrose,8.5,
Raffinose,6.7,
Stachyose,6.1,
Verbascose,5.7,
Sucrose,5,
Raffinose,9,
Ethanol,1.581,
glucose,6.8,
glucose,6.77,
glucose,7.09,
cholesterol,5.63,
cholesterol,5.62,
cholesterol,5.72,
cholesterol,1.35,
cholesterol,1.36,
cholesterol,3.55,
cholesterol,3.54,
cholesterol,3.58,
Benzene,1.49692,
Benzene,1.49792,
Cyclohexane,1.4232,
Cyclohexane,1.42354,
2-Methyl-2-butanol,1.40238,
MgF2,1.38,
SiO2,1.5,
SiO,1.8,
Al2O3,1.67,
ZnO,1.9,
TiO2,2.5,
Quartz,1.55,
Quartz,1.39,
Ammonium sulfate,1.53,
carbon,1.9,
CH,3.4,
CH,4,
CH,2.9,
CH,2.4,
CH,2.2,
Si3N4,2,
SiO2,1.45,
ADP,1.399,
ADP,1.439,
ADP,1.466,
ADP,1.46,
ADP,1.431,
ADP,1.458,
ADP,1.414,
BK7,1.52,
H(HfO2),1.95,
ZnAlBiBTb0.1,1.799,
ZnAlBiBTb0.5,1.797,
ZnAlBiBTb1.0,1.795,
ZnAlBiBTb1.5,1.793,
ZnAlBiBTb2.0,1.791,
ZnAlBiBTb2.5,1.699,
ZnAlBiBTb3.0,1.697,
ZnAlBiBTb0.1,7.977,
ZnAlBiBTb0.5,4.67,
ZnAlBiBTb1.0,3.71,
ZnAlBiBTb1.5,3.243,
ZnAlBiBTb2.0,2.948,
ZnAlBiBTb2.5,2.739,
ZnAlBiBTb3.0,2.74,
PAC,2.7,
PAC,3,
PAC,4.6,
PAC,4.5,
PAC,5.1,
PAC,5.3,
PAC,2.2,
PAC,2.3,
OMYACARB 5-GU,1.59,
Propanone,1.3562,
Propanone,1.35596,
Diisopropyl ether,1.3651,
Diisopropyl ether,1.3655,
Butyl ether,1.3968,
3-Methylpentane,1.3738,
MTBE,1.3664,
1-Propanol,1.3855,
n-Heptane,1.388,
silica,1.4607,
silica,1.4578,
silica,1.4563,
C5H11N,1.452,
HEMA,1.52,
HEMA,1.528,
TiO2,3.5,
TiO2,5,
TiO2,3.5,
IOL,4,
EtOH,1.3614,
n-Hexane,1.3748,
n-Heptane,1.3878,
Cyclohexane,1.4266,
Dioxane,1.4224,
Tetrachloromethane,1.4601,
Toluene,1.4961,
Diethyl ether,1.3526,
Chloroform,1.4459,
n-Butyl acetate,1.394,
Ethyl acetate,1.3723,
Methyl acetate,1.3614,
Tetrahydrofuran,1.407,
Dichloromethane,1.4242,
Dichloroethane,1.4448,
n-Butanol,1.3993,
Isobutanol,1.3955,
Isopropanol,1.3776,
n-Propanol,1.3855,
Acetone,1.3588,
Ethanol,1.3611,
Methanol,1.3288,
Acetonitrile,1.3442,
DMF,1.4305,
Ethylene glycol,1.4318,
DMSO,1.477,
Iso-Octane,1.3899,
n-Hexane,1.3733,
TMPTA,1.5978,
TMPTA,1.5603,
TMPTA,1.5593,
TMPTA,1.5544,
VB,2.5,
VB,2,
DPPH,4.72,
retinal,7,
Alcohol,5.95,
Alcohol,6.04,
Alcohol,7.42,
Alcohol,6.36,
Alcohol,6.2,
Vitamin E,8.71,
Vitamin E,9.57,
Vitamin E,9.78,
Vitamin E,9.99,
Zinc,8.36,
Zinc,9.33,
Zinc,9.65,
Alcohol,3.47,
Alcohol,4.7,
Alcohol,6.58,
Alcohol,8.24,
Alcohol,9.04,
Vitamin E,9.28,
Vitamin E,9.47,
Vitamin E,9.68,
Vitamin E,9.89,
Zinc,9.8,
Zinc,9.45,
Zinc,9.78,
Zinc,9.83,
Zinc,9.76,
C2CN,1.53193,
C2CN,1.2305,
Methanol,1.32647,
Methanol,1.3275,
Methanol,1.3272,
Methanol,1.32652,
Methanol,1.32687,
Methanol,1.3269,
Toluene,1.497,
DMF,1.43,
Pyridine,1.509,
DMSO,1.479,
Tetrachloromethane,1.4574,
Benzene,1.5011,
Toluene,1.4961,
Dichloromethane,1.4242,
Chloroform,1.4459,
Ethyl acetate,1.3723,
Tetrahydrofuran,1.4076,
Iso-propanol,1.3747,
Acetone,1.3588,
Methanol,1.3286,
Benzonitrile,1.5289,
Acetonitrile,1.3441,
Dimethylformamide,1.4303,
PMMA,2.29,
PMMA,3.04,
PMMA,3.24,
PMMA,3.84,
TCO,1.91,
TCO,1.93,
TCO,1.82,
TCO,1.86,
TCO,1.94,
TCO,1.96,
TCO,1.84,
TCO,1.88,
silica,1.46,
PMMA,1.49,
Polystyrene,1.59,
Diopside,5,
CO2,1.5253,
ErYb,2.048,
ErYbAg,2.0549,
Chloroform,1.446,
Acetonitrile,1.344,
Toluene,1.497,
Acetone,1.359,
Ethyl acetate,1.375,
BSiCaLa10,1.5941,
BSiCaLa15,1.6283,
BSiCaLa20,1.6536,
BSiCaLa25,1.6542,
BSiCaLa30,1.6533,
BSiCaLa20,9.6333,
BSiCaLa25,9.0793,
BSiCaLa30,8.6863,
BSiCaLa10,1.4225,
BSiCaLa15,1.5798,
BSiCaLa20,1.6622,
BSiCaLa25,1.7021,
BSiCaLa30,1.751,
CdCl2,2.1,
CdCl2,2.36,
PMMA,1.474,
PMMA,1.4725,
PMMA,1.4728,
C18H35(OCH2CH2)nOH,2,
C16H33(OCH2CH2)nOH,2,
OH,1.086,
OH,1.378,
Ethanolamine,1.454,
Ethanolamine,1.4541,
Ethanolamine,1.449,
Ethanolamine,1.445,
m-Cresol,1.54,
m-Cresol,1.5414,
m-Cresol,1.535,
m-Cresol,1.53,
Aniline,1.588,
Aniline,1.5866,
Aniline,1.582,
Aniline,1.5814,
Aniline,1.578,
Aniline,1.5809,
TMB,1.341,
Methanol,1.3284,
Ethanol,1.3614,
Propanol,1.3856,
n-Butanol,1.3993,
Hexanol,1.4178,
Heptanol,1.423,
Octanol,1.429,
Acetonitrile,1.3284,
Dioxane,1.4224,
Toluene,1.4969,
Xylene,1.5054,
Benzene,1.5011,
Cyclohexane,1.424,
IOL,7.64,
IOL,7.625,
IOL,3.22,
IOL,3.27,
PHB,1.45,
PHB,1.36,
CF3CH2OH,1.2907,
CH3COOH,1.3716,
CH3(CH2)2COOH,1.3991,
CH3(CH2)4COOH,1.417,
CH3(CH2)6COOH,1.4268,
carbon,2.15,
ZnO,1.84,
ZnO,1.8,
ZnO,1.82,
Ethanol,1.3595,
Ethanol,1.35941,
Acetonitrile,1.3441,
Toluene,1.4961,
Methanol,1.3286,
S-TIM28,1.6669,
Chloroform,1.4458,
Toluene,1.4969,
Acetic Acid,1.3716,
chloric acid,1.254,
AMT,1.06,
AMT,1.05,
Sucrose,1.44,
Tellurite,1.89,
Silicate,1.53,
Phosphate,1.54,
PARASOL,3,
HCl,2.43,
NH3,1.95,
hydrazine,1.82,
hydrazine,1.71,
Rhodamine B,1.69,
Cobalt,1.77,
Magnesium phthalocyanine,1.89,
DMSO,1.4793,
Glycerol,1.4746,
DMF,1.4305,
Methanol,1.3284,
Ethanol,1.3614,
Aceton,1.3587,
2-Propanol,1.3772,
iso-Butanol,1.3959,
1-Butanol,1.3993,
Ethyl,1.3724,
Chloroform,1.4459,
Toluene,1.4969,
Benzene,1.5589,
Dioxane,1.4224,
n-Hexane,1.3749,
n-Pentane,1.3575,
silica,1.02,
ZnAlBiBEr01,1.821,
ZnAlBiBEr05,1.819,
ZnAlBiBEr10,1.816,
ZnAlBiBEr20,1.811,
ZnAlBiBEr01,8.001,
ZnAlBiBEr05,4.677,
ZnAlBiBEr10,3.714,
ZnAlBiBEr20,2.945,
Octane,1.3974,
Toluene,1.4961,
o-Dichlorobenzene,1.5515,
Ethyl benzoate,1.505,
Butylacetate,1.394,
Triacetin,1.4305,
Methyl ethyl ketone,1.379,
Acetone,1.3588,
DMF,1.4303,
Acetonitrile,1.3441,
Ethanol,1.3611,
Argon,1.73,
Oxygen,1.67,
Acetone-d6,1.355,
Acetonitrile-d3,1.34,
Benzene-d6,1.498,
Bromoform,1.5976,
Bromoform-d,1.595,
Carbon disulfide,1.6279,
Carbon tetrachloride,1.5011,
Chloroform,1.4603,
Chloroform-d,1.444,
Deuterium oxide,1.327,
DMF-d7,1.428,
DMSO-d6,1.475,
Methanol,1.329,
Methanol-d4,1.325,
Methylene chloride,1.4243,
Methylene chloride-d2,1.421,
Methylene iodide,1.7464,
Methyl iodide,1.5314,
Nitrobenzene-d5,1.549,
Pyridine-d5,1.507,
"1,1,2,2-Tetrachloroethane-d2",1.439,
Toluene,1.4969,
Toluene-d8,1.493,
KDP,1.911,
NaHCO3,1.901,
NaHCO3,3.783,
NaHCO3,3.222,
KDP,1.93,
KDP,1.83,
KDP,1.98,
NaHCO3,1.65,
NaHCO3,2.15,
NaHCO3,2.22,
Co-PAES,1.554,
Co-PAES,1.575,
Co-PAES,1.578,
Co-PAES,1.576,
Co-PAES,1.586,
Glucose,1.337,
Glucose,1.338,
Glucose,1.34,
Glucose,1.343,
Glucose,1.346,
Glucose,1.348,
Glucose,1.35,
Glucose,1.353,
Glucose,1.355,
Glucose,1.357,
Urea,1.333,
Urea,1.334,
Urea,1.335,
Urea,1.336,
Urea,1.337,
Urea,1.3375,
Urea,1.338,
Urea,1.339,
Urea,1.34,
Urea,1.341,
Sodium chloride,1.334,
Sodium chloride,1.335,
Sodium chloride,1.336,
Sodium chloride,1.337,
Sodium chloride,1.338,
Sodium chloride,1.339,
Sodium chloride,1.3396,
Sodium chloride,1.34,
Sodium chloride,1.341,
Sodium chloride,1.342,
Triticonazole,4.46,
Triticonazole,3.5,
Triticonazole,3.37,
Triticonazole,1.49,
Triticonazole,2,
Triticonazole,1.01,
Triticonazole,2.03,
Triticonazole,1.88,
Triticonazole,3.01,
Triticonazole,4.32,
Triticonazole,1.94,
Triticonazole,3.34,
Triticonazole,3.87,
Triticonazole,2.66,
Triticonazole,1.72,
Triticonazole,4.62,
Triticonazole,2.76,
Triticonazole,3.8,
Triticonazole,4.74,
Triticonazole,2.47,
Triticonazole,2.2,
Triticonazole,7.3,
Triticonazole,2.74,
Triticonazole,1.78,
Triticonazole,1.59,
Triticonazole,3.14,
Triticonazole,2.32,
Triticonazole,2.02,
Triticonazole,2.69,
Triticonazole,3.64,
Triticonazole,2.01,
Triticonazole,2.96,
Triticonazole,2.11,
Triticonazole,3.85,
Triticonazole,2.82,
Triticonazole,3.27,
Triticonazole,1.58,
Triticonazole,1.73,
Triticonazole,2.35,
Acetonitrile,1.344,
Acetone,1.359,
ether,1.365,
Hexane,1.375,
n-Propyl alcohol,1.386,
Methanol,1.393,
Tetrahydrofuran,1.407,
NiO,1.79,
NiO,2.3,
ZnO,1.65,
ZnO,2.01,
NiO,1.05,
NiO,1.19,
NiO,1.3,
NiO,1.02,
NiO,1.29,
ZnO,1.2,
ZnO,3.3,
ZnO,5.3,
ZnO,4.6,
ZnO,6.5,
Pentanol,1.405,
Pentanol,1.411,
Pentanol,1.406,
Pentanol,1.401,
Pentanol,1.457,
Pentanol,1.462,
Pentanol,1.451,
Pentanol,1.446,
Pentanol,1.445,
Pentanol,1.44,
Pentanol,1.437,
Pentanol,1.433,
Pentanol,1.432,
Pentanol,1.427,
Pentanol,1.423,
Pentanol,1.47,
Pentanol,1.469,
Pentanol,1.46,
Pentanol,1.468,
Pentanol,1.466,
Pentanol,1.461,
Pentanol,1.456,
Pentanol,1.465,
Pentanol,1.463,
Pentanol,1.458,
Pentanol,1.452,
Pentanol,1.459,
Pentanol,1.454,
Pentanol,1.449,
Pentanol,1.455,
Pentanol,1.45,
Pentanol,1.444,
Pentanol,1.447,
Pentanol,1.443,
Pentanol,1.438,
Pentanol,1.435,
Pentanol,1.43,
Pentanol,1.425,
Ethanol,1.36,
Polystyrene,1.59,
Pyridine,1.507,
Octanol,1.429,
Hexanol,1.418,
Dimethyl sulfoxide,1.478,
Butanol,1.359,
2-Propanol,1.375,
Ethanol,1.361,
Methanol,1.329,
DCMP,1.7239,
DCMP,1.7134,
DCMP,1.7204,
B0.437In0.562As,3.369,
SiO2,1.47,
SiO2,1.45,
Ethanol,1.3592,
Ethanol,1.35941,
Methanol,1.3264,
Methanol,1.32652,
ETBE,1.373,
ZnO,2.075,
ZnO,2.081,
ZnO,2.131,
ZnBBi,1.773,
DMF,1.4305,
EtOH,1.3614,
iron(II),1.5515,
iron(III),1.5427,
Di-tert-butyl peroxide,1.3,
OH,5,
OH,1.65,
OH,1.68,
OH,1.19,
OH,4,
OH,3.7,
DMF,1.4305,
Acetonitrile,1.344,
DMSO,1.479,
Tetrahydrofuran,1.407,
Chloroform,1.4429,
"1,2-Dichlorobenzene",1.5514,
